O*NET-SOC Code	Task ID	Task	Green Task Type	Date	Domain Source
11-2011.01	19943	Develop comprehensive marketing strategies, using knowledge of green products and technologies, markets, and regulations.	New Green Task	07/2011	Analyst
11-2011.01	19937	Identify marketing channels for green products or services.	New Green Task	07/2011	Analyst
11-2011.01	19936	Revise existing marketing plans or campaigns for green products, technologies, or services.	New Green Task	07/2011	Analyst
11-2011.01	19935	Write marketing content for green product web sites, brochures, or other communication media.	New Green Task	07/2011	Analyst
11-2011.01	15401	Analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.	New Green Task	07/2011	Analyst
11-2011.01	19944	Coordinate with other marketing team members and workers such as graphic artists to develop and implement marketing programs.	New Green Task	07/2011	Analyst
11-2011.01	15389	Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.	New Green Task	07/2011	Analyst
11-2011.01	19934	Generate or identify sales leads for green products and technologies.	New Green Task	07/2011	Analyst
11-2011.01	15387	Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.	New Green Task	07/2011	Analyst
11-2011.01	19933	Monitor green-related industry statistics or literature to identify trends.	New Green Task	07/2011	Analyst
11-2021.00	19502	Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.	New Green Task	07/2015	Incumbent
11-2021.00	19505	Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.	New Green Task	07/2015	Incumbent
11-2021.00	19503	Develop business cases for environmental marketing strategies.	New Green Task	07/2015	Incumbent
11-2021.00	19504	Integrate environmental information into product or company marketing strategies, policies, or activities.	New Green Task	07/2015	Incumbent
11-3051.02	15446	Supervise employees in geothermal power plants or well fields.	New Green Task	07/2011	Incumbent
11-3051.02	15447	Oversee geothermal plant operations, maintenance, and repairs to ensure compliance with applicable standards or regulations.	New Green Task	07/2011	Incumbent
11-3051.02	15434	Communicate geothermal plant conditions to employees.	New Green Task	07/2011	Incumbent
11-3051.02	15443	Identify and evaluate equipment, procedural, or conditional inefficiencies involving geothermal plant systems.	New Green Task	07/2011	Incumbent
11-3051.02	15439	Perform or direct the performance of preventative maintenance on geothermal plant equipment.	New Green Task	07/2011	Incumbent
11-3051.02	15448	Inspect geothermal plant or injection well fields to verify proper equipment operations.	New Green Task	07/2011	Incumbent
11-3051.02	15445	Develop or manage budgets for geothermal operations.	New Green Task	07/2011	Incumbent
11-3051.02	15433	Select and implement corrosion control or mitigation systems for geothermal plants.	New Green Task	07/2011	Incumbent
11-3051.02	15444	Develop operating plans and schedules for geothermal operations.	New Green Task	07/2011	Incumbent
11-3051.02	15436	Record, review or maintain daily logs, reports, maintenance, and other records associated with geothermal operations.	New Green Task	07/2011	Incumbent
11-3051.02	15441	Monitor geothermal operations, using programmable logic controllers.	New Green Task	07/2011	Incumbent
11-3051.02	15432	Conduct well field site assessments.	New Green Task	07/2011	Incumbent
11-3051.02	15442	Identify opportunities to improve plant electrical equipment, controls, or process control methodologies.	New Green Task	07/2011	Incumbent
11-3051.02	15437	Prepare environmental permit applications or compliance reports.	New Green Task	07/2011	Incumbent
11-3051.02	15440	Negotiate interconnection agreements with other utilities.	New Green Task	07/2011	Incumbent
11-3051.02	15438	Obtain permits for constructing, upgrading, or operating geothermal power plants.	New Green Task	07/2011	Incumbent
11-3051.02	15435	Troubleshoot and make minor repairs to geothermal plant instrumentation or electrical systems.	New Green Task	07/2011	Incumbent
11-3051.03	15462	Manage operations at biofuels power generation facilities, including production, shipping, maintenance, or quality assurance activities.	New Green Task	06/2009	Analyst
11-3051.03	15461	Adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels.	New Green Task	06/2009	Analyst
11-3051.03	15460	Approve proposals for the acquisition, replacement, or repair of biofuels processing equipment or the implementation of new production processes.	New Green Task	06/2009	Analyst
11-3051.03	15459	Conduct cost, material, and efficiency studies for biofuels production plants or operations.	New Green Task	06/2009	Analyst
11-3051.03	15458	Monitor meters, flow gauges, or other real-time data to ensure proper operation of biofuels production equipment, implementing corrective measures as needed.	New Green Task	06/2009	Analyst
11-3051.03	15457	Prepare and manage biofuels plant or unit budgets.	New Green Task	06/2009	Analyst
11-3051.03	15456	Review logs, datasheets, or reports to ensure adequate production levels or to identify abnormalities with biofuels production equipment or processes.	New Green Task	06/2009	Analyst
11-3051.03	15455	Shut down and restart biofuels plant or equipment in emergency situations or for equipment maintenance, repairs, or replacements.	New Green Task	06/2009	Analyst
11-3051.03	15454	Supervise production employees in the manufacturing of biofuels, such as biodiesel or ethanol.	New Green Task	06/2009	Analyst
11-3051.03	15453	Confer with technical and supervisory personnel to report or resolve conditions affecting biofuels plant safety, operational efficiency, and product quality.	New Green Task	06/2009	Analyst
11-3051.03	15452	Draw samples of biofuels products or secondary by-products for quality control testing.	New Green Task	06/2009	Analyst
11-3051.03	15451	Monitor transportation and storage of flammable or other potentially dangerous feedstocks or products to ensure adherence to safety guidelines.	New Green Task	06/2009	Analyst
11-3051.03	15450	Provide direction to employees to ensure compliance with biofuels plant safety, environmental, or operational standards and regulations.	New Green Task	06/2009	Analyst
11-3051.03	15449	Provide training to subordinate or new employees to improve biofuels plant safety or increase the production of biofuels.	New Green Task	06/2009	Analyst
11-3051.04	15470	Review logs, datasheets, or reports to ensure adequate production levels and safe production environments or to identify abnormalities with power production equipment or processes.	New Green Task	07/2012	Incumbent
11-3051.04	15471	Review biomass operations performance specifications to ensure compliance with regulatory requirements.	New Green Task	07/2012	Incumbent
11-3051.04	15478	Supervise biomass plant or substation operations, maintenance, repair, or testing activities.	New Green Task	07/2012	Incumbent
11-3051.04	15473	Prepare and manage biomass plant budgets.	New Green Task	07/2012	Incumbent
11-3051.04	15468	Supervise operations or maintenance employees in the production of power from biomass such as wood, coal, paper sludge, or other waste or refuse.	New Green Task	07/2012	Incumbent
11-3051.04	15479	Monitor the operating status of biomass plants by observing control system parameters, distributed control systems, switchboard gauges, dials, or other indicators.	New Green Task	07/2012	Incumbent
11-3051.04	15476	Inspect biomass gasification processes, equipment, and facilities for ways to maximize capacity and minimize operating costs.	New Green Task	07/2012	Incumbent
11-3051.04	15480	Conduct field inspections of biomass plants, stations, or substations to ensure normal and safe operating conditions.	New Green Task	07/2012	Incumbent
11-3051.04	15474	Plan and schedule plant activities such as wood, waste, or refuse fuel deliveries, ash removal, and regular maintenance.	New Green Task	07/2012	Incumbent
11-3051.04	15477	Evaluate power production or demand trends to identify opportunities for improved operations.	New Green Task	07/2012	Incumbent
11-3051.04	15472	Prepare reports on biomass plant operations, status, maintenance, and other information.	New Green Task	07/2012	Incumbent
11-3051.04	15464	Manage parts and supply inventories for biomass plants.	New Green Task	07/2012	Incumbent
11-3051.04	15465	Monitor and operate communications systems, such as mobile radios.	New Green Task	07/2012	Incumbent
11-3051.04	15466	Compile and record operational data on forms or in log books.	New Green Task	07/2012	Incumbent
11-3051.04	15469	Shut down and restart biomass power plants or equipment in emergency situations or for equipment maintenance, repairs, or replacements.	New Green Task	07/2012	Incumbent
11-3051.04	15463	Test, maintain, or repair electrical power distribution machinery or equipment, using hand tools, power tools, and testing devices.	New Green Task	07/2012	Incumbent
11-3051.04	15467	Adjust equipment controls to generate specified amounts of electrical power.	New Green Task	07/2012	Incumbent
11-3051.04	15475	Operate controls to start, stop, or regulate biomass-fueled generators, generator units, boilers, engines, or auxiliary systems.	New Green Task	07/2012	Incumbent
11-3051.05	15501	Monitor and control liquid or gas landfill extraction systems.	New Green Task	06/2009	Analyst
11-3051.05	15500	Oversee gas collection landfill operations, including leachate and gas management or rail operations.	New Green Task	06/2009	Analyst
11-3051.05	15498	Develop or enforce procedures for normal operation, start-up, or shut-down of methane gas collection systems.	New Green Task	06/2009	Analyst
11-3051.05	15499	Evaluate landfill gas collection service requirements to meet operational plans and productivity goals.	New Green Task	06/2009	Analyst
11-3051.05	15497	Implement landfill operational and emergency procedures.	New Green Task	06/2009	Analyst
11-3051.05	15496	Inspect landfill or conduct site audits to ensure adherence to safety and environmental regulations.	New Green Task	06/2009	Analyst
11-3051.05	15495	Maintain records for landfill gas collection systems to demonstrate compliance with safety and environmental laws, regulations, or policies.	New Green Task	06/2009	Analyst
11-3051.05	15494	Monitor gas collection systems emissions data, including biomethane or nitrous oxide levels.	New Green Task	06/2009	Analyst
11-3051.05	15492	Monitor landfill permit requirements for updates.	New Green Task	06/2009	Analyst
11-3051.05	15493	Operate computerized control panels to manage gas compression operations.	New Green Task	06/2009	Analyst
11-3051.05	15491	Optimize gas collection landfill operational costs and productivity consistent with safety and environmental rules and regulations.	New Green Task	06/2009	Analyst
11-3051.05	15490	Oversee landfill gas collection system construction, maintenance, and repair activities.	New Green Task	06/2009	Analyst
11-3051.05	15488	Prepare and manage landfill gas collection system budgets.	New Green Task	06/2009	Analyst
11-3051.05	15489	Prepare soil reports as required by regulatory or permitting agencies.	New Green Task	06/2009	Analyst
11-3051.05	15487	Supervise landfill, well field, and other subordinate employees.	New Green Task	06/2009	Analyst
11-3051.05	15486	Read meters, gauges, or automatic recording devices at specified intervals to verify gas collection systems operating conditions.	New Green Task	06/2009	Analyst
11-3051.05	15485	Coordinate the repair, overhaul, or routine maintenance of diesel engines used in landfill operations.	New Green Task	06/2009	Analyst
11-3051.05	15484	Diagnose or troubleshoot gas collection equipment and programmable logic controller (PLC) systems.	New Green Task	06/2009	Analyst
11-3051.05	15483	Prepare reports on landfill operations and gas collection system productivity or efficiency.	New Green Task	06/2009	Analyst
11-3051.05	15482	Recommend or implement practices to reduce turnaround time for trucks in and out of landfill site.	New Green Task	06/2009	Analyst
11-3051.05	15481	Track volume and weight of landfill waste.	New Green Task	06/2009	Analyst
11-3051.06	15520	Direct operations, maintenance, or repair of hydroelectric power facilities.	New Green Task	06/2009	Analyst
11-3051.06	15519	Supervise or monitor hydroelectric facility operations to ensure that generation or mechanical equipment conform to applicable regulations or standards.	New Green Task	06/2009	Analyst
11-3051.06	15518	Check hydroelectric operations for compliance with prescribed operating limits, such as loads, voltages, temperatures, lines, or equipment.	New Green Task	06/2009	Analyst
11-3051.06	15517	Create or enforce hydrostation voltage schedules.	New Green Task	06/2009	Analyst
11-3051.06	15516	Develop or review budgets, annual plans, power contracts, power rates, standing operating procedures, power reviews, or engineering studies.	New Green Task	06/2009	Analyst
11-3051.06	15515	Identify and communicate power system emergencies.	New Green Task	06/2009	Analyst
11-3051.06	15514	Inspect hydroelectric facilities, including switchyards, control houses, or relay houses, for normal operation or adherence to safety standards.	New Green Task	06/2009	Analyst
11-3051.06	15512	Maintain records of hydroelectric facility operations, maintenance, or repairs.	New Green Task	06/2009	Analyst
11-3051.06	15513	Monitor or inspect hydroelectric equipment, such as hydro-turbines, generators, or control systems.	New Green Task	06/2009	Analyst
11-3051.06	15511	Negotiate power generation contracts with other public or private utilities.	New Green Task	06/2009	Analyst
11-3051.06	15510	Operate energized high- or low-voltage hydroelectric power transmission system substations, according to procedures and safety requirements.	New Green Task	06/2009	Analyst
11-3051.06	15509	Perform or direct preventive or corrective containment or cleanup to protect the environment.	New Green Task	06/2009	Analyst
11-3051.06	15508	Plan or coordinate hydroelectric production operations to meet customer requirements.	New Green Task	06/2009	Analyst
11-3051.06	15507	Plan or manage hydroelectric plant upgrades.	New Green Task	06/2009	Analyst
11-3051.06	15506	Respond to problems related to ratepayers, water users, power users, government agencies, educational institutions, or other private or public power resource interests.	New Green Task	06/2009	Analyst
11-3051.06	15505	Supervise hydropower plant equipment installations, upgrades, or maintenance.	New Green Task	06/2009	Analyst
11-3051.06	15504	Develop or implement projects to improve efficiency, economy, or effectiveness of hydroelectric plant operations.	New Green Task	06/2009	Analyst
11-3051.06	15502	Develop or implement policy evaluation procedures for hydroelectric generation activities.	New Green Task	06/2009	Analyst
11-3051.06	15503	Provide technical direction in the erection or commissioning of hydroelectric equipment or supporting electrical or mechanical systems.	New Green Task	06/2009	Analyst
11-3071.01	20464	Monitor operations to ensure that staff members comply with administrative policies and procedures, safety rules, union contracts, environmental policies, or government regulations.	Existing Green Task	07/2014	Incumbent
11-3071.01	19510	Plan or implement energy saving changes to transportation services, such as reducing routes, optimizing capacities, employing alternate modes of transportation, or minimizing idling.	New Green Task	07/2014	Incumbent
11-3071.01	19506	Develop or implement plans to improve transportation services control from regional to national or global load control center operations.	New Green Task	07/2014	Incumbent
11-3071.01	19507	Direct central load control centers to maximize efficiency and effectiveness of transportation services.	New Green Task	07/2014	Incumbent
11-3071.01	19508	Evaluate transportation vehicles or auxiliary equipment for purchase by considering factors such as fuel economy or aerodynamics.	New Green Task	07/2014	Incumbent
11-3071.01	19509	Identify or select transportation and communications system technologies to reduce costs or environmental impacts.	New Green Task	07/2014	Incumbent
11-3071.02	19511	Develop or implement plans for storage and distribution activities that emphasize technological solutions for sustainability, such as investment in smart or eco-friendly containers, dynamic distribution networks, warehouse renovations, or fuel efficient fleets.	New Green Task	07/2011	Analyst
11-3071.02	19512	Develop storage and distribution models that include factors such as warehouse locations, customer locations, or available transportation modes to maximize operational efficiency or sustainability.	New Green Task	07/2011	Analyst
11-3071.02	19513	Evaluate contractors or business partners for operational efficiency or safety or environmental performance records.	New Green Task	07/2011	Analyst
11-3071.02	19514	Evaluate the environmental implications of new warehouses or distribution networks.	New Green Task	07/2011	Analyst
11-3071.02	19515	Identify and implement carbon minimization activities to offset carbon emissions, such as by planting trees, purchasing carbon credits, or purchasing green technologies, such as air filtration or alternative energy vehicles or power.	New Green Task	07/2011	Analyst
11-3071.02	19516	Plan or implement environmental training programs and activities.	New Green Task	07/2011	Analyst
11-3071.02	19517	Select modes of transportation for the distribution of goods that minimize pollution, such as carbon output or other environmental impacts.	New Green Task	07/2011	Analyst
11-3071.03	19987	Direct or coordinate comprehensive logistical or reverse logistical functions for product life cycles, including acquisition, distribution, internal allocation, delivery, recycling, reuse, or final disposal of resources.	New Green Task	07/2011	Occupational Expert
11-3071.03	19988	Negotiate with suppliers or customers to improve supply chain efficiency or sustainability.	New Green Task	07/2011	Occupational Expert
11-3071.03	15757	Analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.	Existing Green Task	07/2011	Occupational Expert
11-3071.03	19989	Communicate freight transportation information to customers or suppliers, using transportation management, electronic logistics marketplace, or electronic freight information systems, to improve efficiency, speed, or quality of transportation services.	New Green Task	07/2011	Occupational Expert
11-3071.03	19990	Review global, national, or regional transportation or logistics reports for ways to improve efficiency or minimize the environmental impact of logistics activities.	New Green Task	07/2011	Occupational Expert
11-3071.03	19991	Prepare or file environmental certification applications.	New Green Task	07/2011	Occupational Expert
11-3071.03	19992	Conduct or review environmental audits for logistics activities, such as storage, distribution, or transportation.	New Green Task	07/2011	Occupational Expert
11-3071.03	19993	Implement or monitor carbon or environmental management, accounting, or audit systems.	New Green Task	07/2011	Occupational Expert
11-3071.03	19994	Develop plans or set goals to reduce carbon emissions associated with storage or transport activities.	New Green Task	07/2011	Occupational Expert
11-9013.02	18827	Monitor and adjust irrigation systems to distribute water according to crop needs and to avoid wasting water.	New Green Task	07/2014	Incumbent
11-9013.02	18811	Monitor pasture or grazing land use to ensure that livestock are properly fed or that conservation methods, such as rotational grazing, are used.	New Green Task	07/2014	Incumbent
11-9013.02	18824	Direct livestock or crop waste recycling operations.	New Green Task	07/2014	Incumbent
11-9013.02	18829	Replace chemical insecticides with environmentally friendly practices, such as adding pest-repelling plants to fields.	New Green Task	07/2014	Incumbent
11-9021.00	19522	Inspect or review projects to monitor compliance with environmental regulations.	New Green Task	07/2013	Occupational Expert
11-9021.00	19520	Develop or implement environmental protection programs.	New Green Task	07/2013	Occupational Expert
11-9021.00	19523	Perform or contract others to perform prebuilding assessments, such as conceptual cost estimating, rough order of magnitude estimating, feasibility, or energy efficiency, environmental, and sustainability assessments.	New Green Task	07/2013	Occupational Expert
11-9021.00	19521	Implement training programs on environmentally responsible building topics to update employee skills and knowledge.	New Green Task	07/2013	Occupational Expert
11-9021.00	19524	Procure Leadership in Energy Efficient Design (LEED) or other environmentally certified professionals to ensure responsible design and building activities or to achieve favorable LEED ratings for building projects.	New Green Task	07/2013	Occupational Expert
11-9021.00	19519	Develop construction budgets that compare green and non-green construction alternatives in terms of short-term costs, long-term costs, or environmental impacts.	New Green Task	07/2013	Occupational Expert
11-9021.00	19518	Apply green building strategies to reduce energy costs or minimize carbon output or other sources of harm to the environment.	New Green Task	07/2013	Occupational Expert
11-9041.00	19526	Evaluate environmental regulations or social pressures related to environmental issues to inform strategic or operational decision-making.	New Green Task	07/2012	Incumbent
11-9041.00	19525	Develop or implement programs to improve sustainability or reduce the environmental impacts of engineering or architecture activities or operations.	New Green Task	07/2012	Incumbent
11-9041.00	19527	Evaluate the environmental impacts of engineering, architecture, or research and development activities.	New Green Task	07/2012	Incumbent
11-9041.00	19528	Identify environmental threats or opportunities associated with the development and launch of new technologies.	New Green Task	07/2012	Incumbent
11-9041.01	15574	Design or conduct applied biodiesel or biofuels research projects on topics such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation.	New Green Task	07/2014	Incumbent
11-9041.01	15578	Analyze data from biofuels studies, such as fluid dynamics, water treatments, or solvent extraction and recovery processes.	New Green Task	07/2014	Incumbent
11-9041.01	15567	Prepare, or oversee the preparation of, experimental plans for biofuels research or development.	New Green Task	07/2014	Incumbent
11-9041.01	15566	Provide technical or scientific guidance to technical staff in the conduct of biofuels research or development.	New Green Task	07/2014	Incumbent
11-9041.01	15580	Propose new biofuels products, processes, technologies or applications based on findings from applied biofuels or biomass research projects.	New Green Task	07/2014	Incumbent
11-9041.01	15576	Conduct experiments on biomass or pretreatment technologies.	New Green Task	07/2014	Incumbent
11-9041.01	15568	Prepare biofuels research and development reports for senior management or technical professionals.	New Green Task	07/2014	Incumbent
11-9041.01	15563	Develop lab scale models of industrial scale processes, such as fermentation.	New Green Task	07/2014	Incumbent
11-9041.01	15579	Oversee biodiesel/biofuels prototyping or development projects.	New Green Task	07/2014	Incumbent
11-9041.01	15577	Conduct experiments to test new or alternate feedstock fermentation processes.	New Green Task	07/2014	Incumbent
11-9041.01	15572	Develop methods to estimate the efficiency of biomass pretreatments.	New Green Task	07/2014	Incumbent
11-9041.01	15565	Develop carbohydrates arrays and associated methods for screening enzymes involved in biomass conversion.	New Green Task	07/2014	Incumbent
11-9041.01	15569	Perform protein functional analysis and engineering for processing of feedstock and creation of biofuels.	New Green Task	07/2014	Incumbent
11-9041.01	15581	Conduct research to breed or develop energy crops with improved biomass yield, environmental adaptability, pest resistance, production efficiency, bioprocessing characteristics, or reduced environmental impacts.	New Green Task	07/2014	Incumbent
11-9041.01	15564	Develop computational tools or approaches to improve biofuels research and development activities.	New Green Task	07/2014	Incumbent
11-9041.01	15570	Develop separation processes to recover biofuels.	New Green Task	07/2014	Incumbent
11-9041.01	15575	Design chemical conversion processes, such as etherification, esterification, interesterification, transesterification, distillation, hydrogenation, oxidation or reduction of fats and oils, and vegetable oil refining.	New Green Task	07/2014	Incumbent
11-9041.01	15573	Design or execute solvent or product recovery experiments in laboratory or field settings.	New Green Task	07/2014	Incumbent
11-9041.01	15571	Develop methods to recover ethanol or other fuels from complex bioreactor liquid and gas streams.	New Green Task	07/2014	Incumbent
11-9121.02	15618	Perform hydrologic, hydraulic, or water quality modeling.	New Green Task	07/2012	Occupational Expert
11-9121.02	15631	Conduct, or oversee the conduct of, investigations on matters such as water storage, wastewater discharge, pollutants, permits, or other compliance and regulatory issues.	New Green Task	07/2012	Occupational Expert
11-9121.02	15628	Develop plans to protect watershed health or rehabilitate watersheds.	New Green Task	07/2012	Occupational Expert
11-9121.02	15634	Develop strategies for watershed operations to meet water supply and conservation goals or to ensure regulatory compliance with clean water laws or regulations.	New Green Task	07/2012	Occupational Expert
11-9121.02	15627	Identify and characterize specific causes or sources of water pollution.	New Green Task	07/2012	Occupational Expert
11-9121.02	15621	Write proposals, project reports, informational brochures, or other documents on wastewater purification, water supply and demand, or other water resource subjects.	New Green Task	07/2012	Occupational Expert
11-9121.02	15624	Present water resource proposals to government, public interest groups, or community groups.	New Green Task	07/2012	Occupational Expert
11-9121.02	15616	Review or evaluate designs for water detention facilities, storm drains, flood control facilities, or other hydraulic structures.	New Green Task	07/2012	Occupational Expert
11-9121.02	15635	Conduct, or oversee the conduct of, chemical, physical, and biological water quality monitoring or sampling to ensure compliance with water quality standards.	New Green Task	07/2012	Occupational Expert
11-9121.02	15630	Conduct technical studies for water resources on topics such as pollutants and water treatment options.	New Green Task	07/2012	Occupational Expert
11-9121.02	15622	Recommend new or revised policies, procedures, or regulations to support water resource or conservation goals.	New Green Task	07/2012	Occupational Expert
11-9121.02	15626	Monitor water use, demand, or quality in a particular geographic area.	New Green Task	07/2012	Occupational Expert
11-9121.02	15633	Analyze storm water systems to identify opportunities for water resource improvements.	New Green Task	07/2012	Occupational Expert
11-9121.02	15623	Provide technical expertise to assist communities in the development or implementation of storm water monitoring or other water programs.	New Green Task	07/2012	Occupational Expert
11-9121.02	15619	Compile water resource data, using geographic information systems (GIS) or global position systems (GPS) software.	New Green Task	07/2012	Occupational Expert
11-9121.02	15632	Conduct cost-benefit studies for watershed improvement projects or water management alternatives.	New Green Task	07/2012	Occupational Expert
11-9121.02	15629	Develop or implement standardized water monitoring and assessment methods.	New Green Task	07/2012	Occupational Expert
11-9121.02	15617	Negotiate for water rights with communities or water facilities to meet water supply demands.	New Green Task	07/2012	Occupational Expert
11-9121.02	15620	Compile and maintain documentation on the health of a body of water.	New Green Task	07/2012	Occupational Expert
11-9121.02	15615	Supervise teams of workers who capture water from wells and rivers.	New Green Task	07/2012	Occupational Expert
11-9121.02	15625	Identify methods for distributing purified wastewater into rivers, streams, or oceans.	New Green Task	07/2012	Occupational Expert
11-9199.01	19529	Develop relationships with state or federal environmental regulatory agencies to learn about and analyze the potential impacts of proposed environmental policy regulations.	New Green Task	07/2011	Analyst
11-9199.01	19530	Evaluate regulatory affairs aspects that are specifically green, such as the use of toxic substances in packaging, carbon footprinting issues, or green policy implementation.	New Green Task	07/2011	Analyst
11-9199.01	19531	Monitor regulatory affairs activities to ensure that they are aligned with corporate sustainability or green initiatives.	New Green Task	07/2011	Analyst
11-9199.01	19532	Monitor regulatory affairs trends that are related to environmental issues.	New Green Task	07/2011	Analyst
11-9199.02	19533	Advise technical professionals on the development or use of environmental compliance or reporting tools.	New Green Task	07/2011	Analyst
11-9199.02	19534	Conduct environmental audits to ensure adherence to environmental standards.	New Green Task	07/2011	Analyst
11-9199.02	19535	Develop or implement environmental compliance plans for programs, such as air quality, storm water, wastewater treatment, hazardous waste management, pollution prevention, or solid waste management.	New Green Task	07/2011	Analyst
11-9199.02	19536	Direct environmental programs, such as air or water compliance, aboveground or underground storage tanks, spill prevention or control, hazardous waste or materials management, solid waste recycling, medical waste management, indoor air quality, integrated pest management, employee training, or disaster preparedness.	New Green Task	07/2011	Analyst
11-9199.02	19537	Evaluate testing procedures to meet the specifications of environmental monitoring programs.	New Green Task	07/2011	Analyst
11-9199.02	19538	Review or modify policies or operating guidelines to comply with changes to environmental standards or regulations.	New Green Task	07/2011	Analyst
11-9199.04	15696	Analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service.	Existing Green Task	06/2010	Occupational Expert
11-9199.04	19539	Conduct or oversee the conduct of life cycle analyses to determine the environmental impacts of products, processes, or systems.	New Green Task	07/2011	Analyst
11-9199.04	19540	Design or implement supply chains that support environmental policies.	New Green Task	07/2011	Analyst
11-9199.04	19541	Design, implement, or oversee product take back or reverse logistics programs to ensure products are recycled, reused, or responsibly disposed.	New Green Task	07/2011	Analyst
11-9199.04	19542	Evaluate and select information or other technology solutions to improve tracking and reporting of materials or products distribution, storage, or inventory.	New Green Task	07/2011	Analyst
11-9199.04	19543	Identify opportunities to reuse or recycle materials to minimize consumption of new materials, minimize waste, or to convert wastes to by-products.	New Green Task	07/2011	Analyst
11-9199.04	19544	Investigate or review the carbon footprints and environmental performance records of current or potential storage and distribution service providers.	New Green Task	07/2011	Analyst
11-9199.04	19545	Locate or select biodegradable, non-toxic, or other environmentally friendly raw materials for manufacturing processes.	New Green Task	07/2011	Analyst
11-9199.04	19546	Review or update supply chain practices in accordance with new or changing environmental policies, standards, regulations, or laws.	New Green Task	07/2011	Analyst
11-9199.09	15823	Oversee the maintenance of wind field equipment or structures, such as towers, transformers, electrical collector systems, roadways, or other site assets.	New Green Task	06/2009	Analyst
11-9199.09	15821	Prepare wind field operational budgets.	New Green Task	06/2009	Analyst
11-9199.09	15822	Supervise employees or subcontractors to ensure quality of work or adherence to safety regulations or policies.	New Green Task	06/2009	Analyst
