O*NET-SOC Code	Task	Category	Original Task ID	Original Task	Write-in Total	Date	Domain Source
15-2031.00	Present the results of mathematical modeling and data analysis to management or other end users.	New	n/a	n/a	4	07/2011	Occupational Expert
15-2041.00	Determine whether statistical methods are appropriate based on user needs or on research questions of interest.	Revision	8962	Develop an understanding of fields to which statistical methods are to be applied to determine whether methods and results are appropriate.	5	07/2012	Occupational Expert
15-2041.00	Prepare and structure data warehouses for storing data.	New	n/a	n/a	6	07/2012	Occupational Expert
17-1022.00	Testify as an expert witness in court cases on land survey issues, such as property boundaries.	New	n/a	n/a	6	06/2008	Occupational Expert
17-2011.00	Develop software for aerospace systems.	New	n/a	n/a	6	07/2015	Incumbent
17-2041.00	Monitor and analyze data from processes and experiments.	New	n/a	n/a	5	06/2009	Occupational Expert
17-2071.00	Develop software to control electrical systems.	New	n/a	n/a	9	07/2015	Incumbent
17-2081.01	Evaluate the operation and maintenance of water/wastewater systems to identify ways to improve their efficiency.	New	n/a	n/a	5	07/2012	Occupational Expert
17-2111.02	Direct the purchase, modification, installation, testing, maintenance, and operation of fire prevention and protection systems.	Revision	8987	Direct the purchase, modification, installation, maintenance, and operation of fire protection systems.	6	07/2013	Occupational Expert
17-2111.03	Develop industry standards of product safety.	New	n/a	n/a	4	06/2007	Occupational Expert
17-2111.03	Evaluate product designs for safety.	New	n/a	n/a	7	06/2007	Occupational Expert
17-2111.03	Provide expert testimony in litigation cases.	New	n/a	n/a	4	06/2007	Occupational Expert
17-2121.02	Conduct analyses of ships, such as stability, structural, weight, or vibration analyses.	Revision	20732	Conduct stability analyses of ships.	20	07/2015	Incumbent
17-2131.00	Present technical information at conferences.	New	n/a	n/a	5	07/2012	Occupational Expert
17-2199.10	Analyze meteorological data.	New	n/a	n/a	7	07/2012	Incumbent
17-2199.10	Design electrical interconnections.	New	n/a	n/a	5	07/2012	Incumbent
17-2199.10	Design wind turbine components.	New	n/a	n/a	7	07/2012	Incumbent
17-2199.10	Estimate energy production by analyzing wind data.	New	n/a	n/a	15	07/2012	Incumbent
17-3013.00	Produce three-dimensional models using computer-aided design (CAD) software.	New	n/a	n/a	6	06/2009	Incumbent
17-3021.00	Design electrical and mechanical systems used for avionic instrumentation applications.	New	n/a	n/a	5	12/2006	Incumbent
17-3022.00	Develop project budgets by estimating the cost of project activities.	New	n/a	n/a	5	06/2009	Incumbent
17-3022.00	Negotiate prices for new contracts or for modifications to existing contracts with contractors.	New	n/a	n/a	9	06/2009	Incumbent
17-3026.00	Create engineering drawings, schematics or blueprints.	New	n/a	n/a	5	07/2014	Incumbent
17-3031.02	Prepare cost estimates for mapping projects.	New	n/a	n/a	6	07/2014	Incumbent
19-1011.00	Write-up or orally communicate research findings to the scientific community, producers, and the public.	Revision	15211	Communicate research findings to the scientific community, producers, and the public.	12	06/2008	Occupational Expert
19-1013.00	Conduct experiments to investigate the underlying mechanisms involved in plant growth and plant responses to the environment.	New	n/a	n/a	8	07/2014	Occupational Expert
19-1020.01	Write grant proposals to obtain funding for biological research.	New	n/a	n/a	5	06/2010	Incumbent
19-1021.00	Write grant proposals to obtain funding for research.	New	n/a	n/a	8	07/2012	Occupational Expert
19-1031.01	Develop soil maps.	New	n/a	n/a	6	07/2011	Occupational Expert
19-1031.02	Coordinate with federal land managers and other agencies and organizations to manage and protect rangelands.	New	n/a	n/a	15	12/2005	Incumbent
19-1031.02	Regulate grazing (e.g., by issuing permits and checking for compliance with standards), and help ranchers plan and organize grazing systems in order to manage, improve and protect rangelands and maximize their use.	Revision	7496	Regulate grazing, and help ranchers plan and organize grazing systems in order to manage, improve and protect rangelands and maximize their use.	20	12/2005	Incumbent
19-1031.03	Develop environmental educational programs and curricula for schools.	New	n/a	n/a	5	12/2004	Incumbent
19-1031.03	Plan and organize public events at the park.	New	n/a	n/a	6	12/2004	Incumbent
19-1042.00	Write applications for research grants.	New	n/a	n/a	12	07/2012	Incumbent
19-2011.00	Conduct question and answer presentations on astronomy topics with public audiences.	New	n/a	n/a	7	07/2011	Occupational Expert
19-2011.00	Mentor graduate students and junior colleagues.	New	n/a	n/a	7	07/2011	Occupational Expert
19-2011.00	Supervise students' research on celestial and astronomical phenomena.	New	n/a	n/a	4	07/2011	Occupational Expert
19-2012.00	Write research proposals to receive funding.	New	n/a	n/a	8	12/2006	Incumbent
19-2021.00	Develop and deliver training on weather topics.	New	n/a	n/a	10	07/2012	Occupational Expert
19-2021.00	Develop computer programs to collect meteorological data or to present meteorological information.	New	n/a	n/a	6	07/2012	Occupational Expert
19-2021.00	Speak to the public to discuss weather topics or answer questions.	New	n/a	n/a	8	07/2012	Occupational Expert
19-2032.00	Write research papers for publication in scientific journals.	New	n/a	n/a	18	07/2012	Occupational Expert
19-2041.02	Write grants to obtain funding for restoration projects.	New	n/a	n/a	4	07/2013	Occupational Expert
19-2042.00	Review environmental, historical, or technical reports and publications for accuracy.	New	n/a	n/a	4	07/2013	Occupational Expert
19-3011.00	Explain economic impact of policies to the public.	New	n/a	n/a	11	07/2011	Occupational Expert
19-3011.01	Teach courses in environmental economics.	New	n/a	n/a	7	07/2012	Occupational Expert
19-3022.00	Write proposals to win new projects.	New	n/a	n/a	5	07/2011	Occupational Expert
19-3031.02	Conduct assessments of patients' risk for harm to self or others.	New	n/a	n/a	5	07/2012	Incumbent
19-3031.02	Prepare written evaluations of individuals' psychological competence for court hearings.	New	n/a	n/a	8	07/2012	Incumbent
19-3031.03	Supervise and train interns, clinicians in training, and other counselors.	Revision	20219	Supervise interns, clinicians in training, and other counselors.	8	07/2012	Incumbent
19-3039.01	Conduct research on neuropsychological disorders.	New	n/a	n/a	5	06/2010	Occupational Expert
19-3039.01	Consult with other professionals about patients' neurological conditions.	New	n/a	n/a	4	06/2010	Occupational Expert
19-3041.00	Present research findings at professional meetings.	New	n/a	n/a	5	07/2005	Occupational Expert
19-3091.02	Design exhibits of artifacts.	New	n/a	n/a	4	07/2012	Occupational Expert
19-3091.02	Educate the public about archeology.	New	n/a	n/a	11	07/2012	Occupational Expert
19-3091.02	Mentor archeology students.	New	n/a	n/a	4	07/2012	Occupational Expert
19-4011.02	Supervise other food science technicians.	New	n/a	n/a	5	07/2013	Incumbent
19-4021.00	Input data into databases.	New	n/a	n/a	7	06/2009	Incumbent
19-4021.00	Place orders for laboratory equipment and supplies.	New	n/a	n/a	5	06/2009	Incumbent
19-4041.01	Evaluate and interpret seismic data with the aid of computers.	New	n/a	n/a	8	12/2006	Incumbent
19-4041.01	Record geological data in a database.	New	n/a	n/a	6	12/2006	Incumbent
19-4051.01	Apply safety tags to equipment needing maintenance.	New	n/a	n/a	11	06/2010	Incumbent
19-4051.01	Conduct surveillance testing to determine safety of nuclear equipment.	New	n/a	n/a	6	06/2010	Incumbent
19-4051.01	Test plant equipment to ensure it is operating properly.	New	n/a	n/a	13	06/2010	Incumbent
19-4051.02	Calibrate, maintain, and repair chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.	Revision	7608	Calibrate and maintain chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.	11	07/2014	Incumbent
19-4051.02	Document results from radiation and contamination surveys.	New	n/a	n/a	5	07/2014	Incumbent
19-4051.02	Inspect, test, and maintain respiratory protection equipment.	New	n/a	n/a	9	07/2014	Incumbent
19-4051.02	Write radiological work permits.	New	n/a	n/a	7	07/2014	Incumbent
19-4092.00	Analyze data from computers or other digital media sources for evidence related to criminal activity.	New	n/a	n/a	7	07/2013	Incumbent
19-4092.00	Analyze DNA data to identify DNA donor profiles.	New	n/a	n/a	9	07/2013	Incumbent
19-4092.00	Examine footwear, tire tracks or other types of impressions.	New	n/a	n/a	7	07/2013	Incumbent
19-4092.00	Examine physical evidence, such as hair, biological fluids, fiber, wood, or soil residues to obtain information about its source and composition.	Revision	1585	Examine physical evidence, such as hair, fiber, wood, or soil residues to obtain information about its source and composition.	6	07/2013	Incumbent
19-4092.00	Measure and sketch crime scenes to document evidence.	New	n/a	n/a	14	07/2013	Incumbent
19-4092.00	Train others, such as new personnel, on crime scene investigation techniques, including the collection and packaging of evidence.	New	n/a	n/a	9	07/2013	Incumbent
19-4093.00	Map forest tract data using digital mapping systems.	New	n/a	n/a	4	06/2010	Occupational Expert
21-1014.00	Collaborate with mental health professionals and other staff members to perform clinical assessments or develop treatment plans.	Revision	1599	Collaborate with other staff members to perform clinical assessments or develop treatment plans.	7	07/2013	Incumbent
21-1014.00	Perform crisis interventions to help ensure the safety of the patients and others.	New	n/a	n/a	8	07/2013	Incumbent
21-1015.00	Supervise rehabilitation counselors and staff.	New	n/a	n/a	5	07/2012	Incumbent
21-1022.00	Educate clients about end of life symptoms and options to assist them in making informed decisions.	New	n/a	n/a	5	07/2014	Occupational Expert
21-1093.00	Assess clients' cognitive abilities, and physical and emotional needs to determine appropriate interventions.	New	n/a	n/a	8	07/2013	Incumbent
21-1093.00	Develop and implement behavioral management and care plans for clients.	New	n/a	n/a	6	07/2013	Incumbent
23-1011.00	Prepare, draft and review legal documents, such as wills, deeds, patent applications, mortgages, leases, and contracts.	Revision	3784	Prepare and draft legal documents, such as wills, deeds, patent applications, mortgages, leases, and contracts.	6	06/2009	Incumbent
23-1021.00	Schedule hearings.	New	n/a	n/a	5	07/2011	Incumbent
23-1023.00	Issue arrest warrants.	New	n/a	n/a	6	07/2011	Incumbent
23-2011.00	Investigate facts and law of cases and search pertinent sources, such as public records and internet sources, to determine causes of action and to prepare cases.	Revision	18495	Investigate facts and law of cases and search pertinent sources, such as public records, to determine causes of action and to prepare cases.	7	06/2009	Incumbent
23-2091.00	Log and store exhibits from court proceedings.	New	n/a	n/a	14	07/2011	Incumbent
23-2091.00	Proofread transcripts for correct spelling of words.	New	n/a	n/a	35	07/2011	Incumbent
23-2091.00	Type court orders for judges.	New	n/a	n/a	6	07/2011	Incumbent
25-1011.00	Mentor new faculty.	New	n/a	n/a	5	07/2011	Incumbent
25-1021.00	Develop and maintain website for on-line courses.	New	n/a	n/a	5	07/2011	Incumbent
25-1022.00	Conduct faculty performance evaluations.	New	n/a	n/a	5	07/2011	Incumbent
25-1022.00	Develop department and course schedules.	New	n/a	n/a	5	07/2011	Incumbent
25-1032.00	Review manuscripts for professional journals.	New	n/a	n/a	6	07/2011	Incumbent
25-1042.00	Maintain or repair lab equipment.	New	n/a	n/a	8	07/2011	Incumbent
25-1052.00	Clean laboratory facilities.	New	n/a	n/a	6	07/2011	Incumbent
25-1052.00	Write letters of recommendation for students.	New	n/a	n/a	7	07/2011	Incumbent
25-1053.00	Write letters of recommendation for students.	New	n/a	n/a	5	07/2011	Incumbent
25-1061.00	Conduct ethnographic field research.	New	n/a	n/a	6	07/2011	Incumbent
25-1061.00	Write letters of recommendation for students.	New	n/a	n/a	6	07/2011	Incumbent
25-1066.00	Recruit and hire new faculty.	New	n/a	n/a	5	07/2011	Incumbent
25-1066.00	Write letters of recommendation for students.	New	n/a	n/a	5	07/2011	Incumbent
25-1067.00	Mentor new faculty.	New	n/a	n/a	5	07/2011	Incumbent
25-1072.00	Conduct faculty performance evaluations.	New	n/a	n/a	5	07/2011	Incumbent
25-1082.00	Select and invite guest speakers to speak to classes.	New	n/a	n/a	5	07/2011	Incumbent
25-1111.00	Write letters of recommendation for students.	New	n/a	n/a	6	07/2011	Incumbent
25-1113.00	Mentor new faculty members.	New	n/a	n/a	5	07/2014	Incumbent
25-1121.00	Maintain or repair studio facilities.	New	n/a	n/a	5	07/2011	Incumbent
25-1122.00	Direct theatre productions and projects.	New	n/a	n/a	5	07/2011	Incumbent
25-1123.00	Review manuscripts for publication in professional journals.	New	n/a	n/a	7	07/2011	Incumbent
25-1123.00	Schedule courses.	New	n/a	n/a	6	07/2011	Incumbent
25-1123.00	Teach writing or communication classes.	Revision	20092	Teach writing classes.	12	07/2011	Incumbent
25-1123.00	Write letters of recommendation for students.	New	n/a	n/a	12	07/2011	Incumbent
25-1124.00	Write letters of recommendation for students.	New	n/a	n/a	6	07/2011	Incumbent
25-1191.00	Tutor and mentor students who need additional instruction.	New	n/a	n/a	6	12/2006	Incumbent
25-1192.00	Conduct faculty performance evaluations.	New	n/a	n/a	5	07/2011	Incumbent
25-1193.00	Coach athletic teams.	New	n/a	n/a	8	07/2011	Incumbent
25-2053.00	Collaborate with other teachers that provide instruction to special education students to ensure that the students receive appropriate supports.	New	n/a	n/a	5	06/2010	Incumbent
25-2053.00	Develop or write Individualized Education Programs (IEPs) for students.	New	n/a	n/a	5	06/2010	Incumbent
25-2059.01	Collaborate with other educational personnel to provide inclusive activities or programs for children with disabilities.	New	n/a	n/a	8	07/2012	Occupational Expert
25-4013.00	Enter information on museum collections into computer databases.	New	n/a	n/a	5	06/2010	Incumbent
25-4031.00	Sort and deliver library mail and packages.	New	n/a	n/a	5	06/2009	Incumbent
25-9011.00	Edit audiovisual material to enhance viewing quality.	New	n/a	n/a	10	06/2010	Incumbent
25-9011.00	Maintain inventory of audiovisual equipment.	New	n/a	n/a	8	06/2010	Incumbent
25-9011.00	Supervise student workers.	New	n/a	n/a	6	06/2010	Incumbent
25-9011.00	Train faculty and media staff on the use of audiovisual equipment.	New	n/a	n/a	6	06/2010	Incumbent
25-9011.00	Troubleshoot problems with audiovisual equipment.	New	n/a	n/a	6	06/2010	Incumbent
25-9041.00	Clean classrooms.	New	n/a	n/a	6	07/2011	Incumbent
25-9041.00	Teach social skills to students.	New	n/a	n/a	9	07/2011	Incumbent
27-1012.00	Plan and attend craft shows to market products.	Revision	9249	Attend craft shows to market products.	5	06/2006	Occupational Expert
27-1013.00	Frame and mat artwork for display or sale.	New	n/a	n/a	8	12/2006	Incumbent
27-1013.00	Market artwork through brochures, mailings, or websites.	New	n/a	n/a	11	12/2006	Incumbent
27-1013.00	Photograph objects, places or scenes for reference material.	New	n/a	n/a	5	12/2006	Incumbent
27-1013.00	Set up exhibitions of artwork for display or sale.	New	n/a	n/a	8	12/2006	Incumbent
27-1013.00	Submit artwork to shows or galleries.	New	n/a	n/a	8	12/2006	Incumbent
27-1013.00	Teach artistic techniques to children and adults.	New	n/a	n/a	10	12/2006	Incumbent
27-1025.00	Design plans to be safe and to be compliant with the American Disabilities Act (ADA).	New	n/a	n/a	7	06/2009	Occupational Expert
27-1025.00	Design spaces to be environmentally friendly and to use sustainable, recycled materials when feasible.	New	n/a	n/a	6	06/2009	Occupational Expert
27-1025.00	Inspect construction work on-site to ensure its adherence to the design plans.	New	n/a	n/a	5	06/2009	Occupational Expert
27-1025.00	Research and explore the use of new materials, technologies, and products to incorporate into designs.	New	n/a	n/a	7	06/2009	Occupational Expert
27-2012.01	Monitor time during live broadcasts.	New	n/a	n/a	5	07/2011	Incumbent
27-2012.01	Schedule guests to appear on shows.	New	n/a	n/a	5	07/2011	Incumbent
27-2012.01	Select news content that is relevant and important to viewers.	New	n/a	n/a	10	07/2011	Incumbent
27-2012.04	Direct shows, productions, and plays.	New	n/a	n/a	5	12/2006	Incumbent
27-2012.04	Teach acting classes.	New	n/a	n/a	5	12/2006	Incumbent
27-2023.00	Inspect game sites for compliance with regulations or safety requirements.	New	n/a	n/a	4	07/2014	Occupational Expert
27-2031.00	Prepare pointe shoes (e.g., by sewing) for use in rehearsals and performance.	New	n/a	n/a	10	12/2005	Incumbent
27-2041.04	Produce recordings of music.	New	n/a	n/a	8	06/2007	Incumbent
27-2041.04	Stay abreast of the latest trends in music and music technology.	New	n/a	n/a	9	06/2007	Incumbent
27-2042.02	Arrange and edit music to fit style and purpose.	New	n/a	n/a	6	06/2006	Incumbent
27-2042.02	Perform before live audiences including concerts, recitals, educational presentations, and other social gatherings.	Revision	9312	Perform before live audiences.	5	06/2006	Incumbent
27-2042.02	Practice musical instrument performances and listen to recordings, individually or in rehearsal with other musicians, to master individual pieces of music and to maintain and improve skills.	Revision	9311	Practice musical instrument performances, individually or in rehearsal with other musicians, to master individual pieces of music and to maintain and improve skills.	14	06/2006	Incumbent
27-3011.00	Develop story lines for broadcasts.	New	n/a	n/a	6	12/2004	Incumbent
27-3011.00	Maintain organization of the music library.	New	n/a	n/a	5	12/2004	Incumbent
27-3011.00	Write and edit video and scripts for broadcasts.	New	n/a	n/a	35	12/2004	Incumbent
27-3012.00	Select and play appropriate music for the crowd.	New	n/a	n/a	10	12/2005	Incumbent
27-3012.00	Set up and test various equipment, including sound equipment, before each event.	New	n/a	n/a	11	12/2005	Incumbent
27-3031.00	Post and update content on the company's website and social media outlets.	Revision	20556	Update and maintain content posted on the Web.	5	07/2014	Occupational Expert
27-3041.00	Write text, such as stories, articles, editorials, or newsletters.	New	n/a	n/a	34	06/2009	Incumbent
27-3043.04	Work with staff to develop advertising concepts.	New	n/a	n/a	5	06/2009	Incumbent
29-1011.00	Provide guidance to patients on exercises they can perform to improve mobility.	New	n/a	n/a	5	07/2013	Incumbent
29-1011.00	Take x-rays.	New	n/a	n/a	6	07/2013	Incumbent
29-1022.00	Evaluate and treat problems related to the temperomandibular joint (TMJ).	New	n/a	n/a	7	07/2012	Incumbent
29-1023.00	Advise patients to comply with treatment plans.	New	n/a	n/a	13	07/2012	Incumbent
29-1024.00	Examine patients to diagnose oral health conditions and diseases.	New	n/a	n/a	11	07/2012	Incumbent
29-1061.00	Place invasive intravascular monitors into patients.	New	n/a	n/a	5	07/2012	Incumbent
29-1061.00	Teach anesthesiology principles to residents.	New	n/a	n/a	12	07/2012	Incumbent
29-1065.00	Teach residents or medical students about pediatric topics.	New	n/a	n/a	13	07/2012	Incumbent
29-1066.00	Perform mental health evaluations to provide information to courts of law on patients' mental states.	New	n/a	n/a	6	07/2014	Incumbent
29-1069.03	Direct or support quality improvement projects or safety programs.	New	n/a	n/a	14	07/2014	Occupational Expert
29-1122.01	Teach self-advocacy skills to clients.	New	n/a	n/a	6	07/2014	Occupational Expert
29-1125.00	Develop discharge plans for patients.	New	n/a	n/a	4	06/2008	Occupational Expert
29-1126.00	Attend high-risk and caesarian section infant deliveries to provide neonatal respiratory care as needed.	New	n/a	n/a	5	07/2013	Incumbent
29-1127.00	Evaluate oral motor function in infants.	New	n/a	n/a	13	07/2013	Incumbent
29-1127.00	Supervise students or assistants.	New	n/a	n/a	9	07/2013	Incumbent
29-1141.04	Provide coaching and mentoring to other caregivers to help facilitate their professional growth and development.	New	n/a	n/a	4	07/2013	Occupational Expert
29-1161.00	Instruct student nurse-midwives, medical students, or residents on the birthing process.	New	n/a	n/a	14	07/2014	Occupational Expert
29-2011.03	Archive diagnostic material, such as histologic slides and blocks.	New	n/a	n/a	4	07/2014	Occupational Expert
29-2012.00	Perform quality control analyses to ensure accuracy of test results.	New	n/a	n/a	8	07/2014	Incumbent
29-2021.00	Attend continuing education courses to maintain or update skills.	New	n/a	n/a	7	07/2013	Incumbent
29-2031.00	Perform general administrative tasks, such as answering telephones, scheduling appointments, or ordering supplies or equipment.	Revision	15234	Perform general administrative tasks, such as scheduling appointments or ordering supplies or equipment.	7	07/2014	Incumbent
29-2033.00	Schedule patients for nuclear medicine exams and procedures.	New	n/a	n/a	8	07/2013	Incumbent
29-2051.00	Attend interdisciplinary meetings with other health care professionals to discuss patient care.	New	n/a	n/a	7	07/2013	Incumbent
29-2051.00	Observe and monitor patient food intake and body weight, and report changes, progress, and dietary problems to dietician.	Revision	4164	Observe patient food intake and report progress and dietary problems to dietician.	7	07/2013	Incumbent
29-2052.00	Enter prescription information into computer databases.	New	n/a	n/a	5	07/2013	Incumbent
29-2054.00	Assist with intubations.	New	n/a	n/a	6	07/2014	Incumbent
29-2055.00	Schedule surgical procedures for patients.	New	n/a	n/a	5	07/2013	Incumbent
29-2055.00	Transport patients to and from the operating room.	New	n/a	n/a	5	07/2013	Incumbent
29-2071.00	Scan patients' health records into electronic formats.	New	n/a	n/a	6	07/2013	Incumbent
29-2071.00	Schedule medical appointments for patients.	New	n/a	n/a	5	07/2013	Incumbent
29-2092.00	Counsel patients and families on communication strategies and the effects of hearing loss.	New	n/a	n/a	9	07/2012	Incumbent
29-2099.05	Educate patients on ophthalmic medical procedures, conditions of the eye, and appropriate use of medications.	New	n/a	n/a	4	07/2013	Occupational Expert
29-2099.05	Perform ophthalmic triage in the office or via phone to assess severity of patients' conditions.	New	n/a	n/a	5	07/2013	Occupational Expert
29-9011.00	Analyze incident data to identify trends in injuries, illnesses, accidents or other hazards.	New	n/a	n/a	7	07/2012	Occupational Expert
29-9091.00	Clean and sanitize athletic training rooms.	New	n/a	n/a	5	07/2014	Incumbent
29-9099.01	Perform annual gynecologic exams, including pap smears and breast exams.	New	n/a	n/a	10	07/2012	Incumbent
29-9099.01	Provide patients with contraceptive and family planning information.	Revision	17497	Provide postpartum patients with contraceptive and family planning information.	5	07/2012	Incumbent
31-1011.00	Assist patients with toileting and incontinent care.	New	n/a	n/a	7	07/2014	Incumbent
31-1011.00	Feed patients.	New	n/a	n/a	6	07/2014	Incumbent
31-2021.00	Document patient information, such as notes on their progress.	New	n/a	n/a	8	07/2013	Incumbent
31-2021.00	Instruct patients in proper body mechanics and in ways to improve functional mobility, such as aquatic exercise.	New	n/a	n/a	13	07/2013	Incumbent
31-2021.00	Perform therapeutic wound care.	New	n/a	n/a	7	07/2013	Incumbent
31-9011.00	Maintain massage areas by restocking supplies or sanitizing equipment.	New	n/a	n/a	6	07/2015	Occupational Expert
31-9093.00	Order medical supplies for healthcare facilities or laboratories.	New	n/a	n/a	6	07/2014	Incumbent
31-9096.00	Place orders to restock inventory of hospital or laboratory supplies.	New	n/a	n/a	6	07/2013	Incumbent
33-1011.00	Conduct evaluations of employees' performance.	New	n/a	n/a	5	07/2012	Incumbent
33-1021.02	Analyze burn conditions and results, and prepare postburn reports.	Revision	7896	Direct and supervise prescribed burn projects and prepare postburn reports, analyzing burn conditions and results.	5	07/2014	Incumbent
33-1021.02	Plan, direct, and supervise prescribed burn projects.	Revision	7896	Direct and supervise prescribed burn projects and prepare postburn reports, analyzing burn conditions and results.	5	07/2014	Incumbent
33-2011.01	Rescue victims from burning buildings, accident sites, and water hazards.	Revision	2064	Rescue victims from burning buildings and accident sites.	7	06/2009	Incumbent
33-2011.02	Train new employees to control and suppress forest fires.	New	n/a	n/a	6	06/2010	Incumbent
33-2021.02	Teach fire investigation techniques to other firefighter personnel.	New	n/a	n/a	8	06/2010	Incumbent
33-2022.00	Conduct wildland firefighting training.	New	n/a	n/a	7	12/2006	Incumbent
33-2022.00	Educate the public about fire safety and prevention.	New	n/a	n/a	9	12/2006	Incumbent
33-3011.00	Arrest persons in court when arrest warrants have been issued.	New	n/a	n/a	6	07/2011	Incumbent
33-3011.00	Provide assistance to the public, such as directions to court offices.	New	n/a	n/a	6	07/2011	Incumbent
33-3021.02	Analyze and process evidence at crime scenes, during autopsies, or in the laboratory, wearing protective equipment and using powders and chemicals.	Revision	2124	Analyze and process evidence at crime scenes and in the laboratory, wearing protective equipment and using powders and chemicals.	13	06/2010	Incumbent
33-3021.02	Create sketches and diagrams by hand or with computer software to depict crime scenes.	New	n/a	n/a	5	06/2010	Incumbent
33-3021.06	Analyze intelligence data to identify patterns and trends in criminal activity.	New	n/a	n/a	4	07/2012	Occupational Expert
33-3021.06	Conduct presentations of analytic findings.	New	n/a	n/a	4	07/2012	Occupational Expert
33-3051.03	Conduct community programs for all ages concerning topics such as drugs and violence.	New	n/a	n/a	7	07/2012	Incumbent
33-3052.00	Enforce traffic laws regarding the transit system and reprimand individuals who violate them.	New	n/a	n/a	6	06/2006	Incumbent
33-3052.00	Monitor transit areas and conduct security checks to protect railroad properties, patrons, and employees.	New	n/a	n/a	10	06/2006	Incumbent
33-3052.00	Provide training to the public and law enforcement personnel regarding railroad safety, security, and other related issues.	New	n/a	n/a	7	06/2006	Incumbent
33-9021.00	Serve documents to parties named in legal proceedings.	New	n/a	n/a	5	07/2015	Incumbent
